date,location,type,redd_count,salmon_count,depth_m,pot_depth_m,velocity,percent_fine_substrate,percent_small_substrate,percent_medium_substrate,percent_large_substrate,percent_boulder,redd_width_m,redd_length_m,latitude,longitude
2009-10-21,Hatchery Riffle,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,0,0.64,0.6,2.952756,10,15,25,20,30,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,1,0.46,0.66,3.0839895999999998,15,15,25,30,15,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,0,0.52,0.62,3.1167979999999997,15,10,20,55,0,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,0,0.57,0.58,1.6076116,10,30,20,40,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,2,0,0.45,0.55,1.9685039999999998,5,10,55,30,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,0,0.2,0.31,1.4107612,30,40,30,NA,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,0,0.44,0.42,2.1653544,10,40,40,10,NA,NA,NA,NA,NA
2009-10-21,Hatchery Riffle,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,2,4,0.42,0.45,1.1811023999999999,20,20,40,20,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,2,3,0.32,0.44,1.2139108,20,40,30,10,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,1,0,0.5,0.5,1.8372704000000002,10,30,30,30,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,2,2,0.41,0.44,1.1154856,20,30,30,20,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-21,Lower Auditorium,Area,1,2,0.32,0.43,2.46063,0,30,30,40,NA,NA,NA,NA,NA
2009-11-16,Table Mountain,Area,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-16,Hatchery Pipe,Area,1,2,0.3,0.4,1.2795276,5,45,45,5,NA,NA,NA,NA,NA
2009-11-16,Cottonwood,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-16,Cottonwood,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-16,Upper Auditorium,Area,1,1,0.76,0.97,2.5590552,25,60,15,NA,NA,NA,NA,NA,NA
2009-11-16,Upper Auditorium,Area,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-16,Hatchery Ditch,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-16,Lower Auditorium,Area,1,0,0.66,0.76,2.8215224,5,10,40,40,5,NA,NA,NA,NA
2009-11-16,Lower Auditorium,Area,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-16,Lower Auditorium,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-16,Lower Auditorium,Area,1,3,0.66,0.7,2.2637796,10,10,45,35,NA,NA,NA,NA,NA
2009-11-16,Hatchery Ditch,Area,1,0,0.34,0.42,1.7060368000000001,25,60,15,NA,NA,NA,NA,NA,NA
2009-11-16,Moes Ditch,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-16,Moes Ditch,Area,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-16,Table Mountain,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-08,Mid Auditorium,Area,1,0,0.5,0.52,11.5157484,10,30,40,20,0,NA,NA,NA,NA
2009-11-08,Mid Auditorium,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-08,Mid Auditorium,Area,1,0,0.8,0.82,9.120735199999999,10,30,40,20,0,NA,NA,NA,NA
