area_sq_m,unit,unit_sub_level,latitude,longitude
42462.45638,551,,39.30729694,-121.6279965
14691.35628,552,,39.30754364,-121.6274537
5184.591708,553,,39.30856031,-121.6278415
7215.902354,553,,39.30431368,-121.6289516
26681.34707,554,,39.3041031,-121.6285326
8335.104028,555,,39.30407873,-121.6279726
10804.53209,556,,39.30193487,-121.6301403
23656.9306,557,,39.30224809,-121.6293577
7816.92562,558,,39.3022013,-121.6288049
12051.66596,559,,39.30126385,-121.6316574
27177.45204,560,,39.29962989,-121.6315296
20585.55441,561,,39.29924207,-121.6308887
13338.37186,562,,39.29995262,-121.6299589
11990.91335,563,,39.29966023,-121.6297318
12067.30754,564,,39.29723114,-121.6293411
26284.66169,565,,39.29666309,-121.6281983
7503.986464,566,,39.29770501,-121.629086
12373.80255,567,,39.29500685,-121.6264012
33273.21367,568,,39.29499427,-121.625217
4298.536776,569,,39.29616331,-121.6269578
11905.31589,570,,39.29562884,-121.6258875
