PhysDataTblID,Location,Date,RiverMile,SpeciesCode,Count,FL..mm.,DistToBottom,Focal.Velocity,TCode,Depth,Velocity,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,IcovA,IcovB,IcovC,IcovE,IcovF,Ocov0,Ocov1,Ocov2,SurTurb,CGU,Distance,FishAge,SpecAge
70,Hatchery Ditch,2001-05-21,66.5,CHN,5,35,5,1.3200001,24.3,37,1.32,0,100,0,0,0,0,80,20,0,0,0,100,0,0,0,g,3,0,chn0
70,Hatchery Ditch,2001-05-21,66.5,RBTS,1,35,2,0.91000003,24.3,37,1.32,0,100,0,0,0,0,80,20,0,0,0,100,0,0,0,g,3,0,rbt0
70,Hatchery Ditch,2001-05-21,66.5,CHN,3,40,3,0.91000003,24.3,37,1.32,0,100,0,0,0,0,80,20,0,0,0,100,0,0,0,g,3,0,chn0
71,Hatchery Riffle,2001-05-21,66.5,CHN,150,45,50,0.50999999,6.3,89,0.59,0,20,0,0,0,80,100,0,0,0,0,100,0,0,20,g,3,0,chn0
71,Hatchery Riffle,2001-05-21,66.5,RBTS,1,75,15,0,6.1,41,0,0,0,0,0,40,60,15,0,0,85,0,90,10,0,0,p,1,0,rbt0
71,Hatchery Riffle,2001-05-21,66.5,RBTS,1,25,10,0,12.1,42,0,0,0,0,0,0,100,100,0,0,0,0,20,30,50,10,p,1,0,rbt0
71,Hatchery Riffle,2001-05-21,66.5,RBTS,2,25,5,0,24.1,8,0,0,0,0,20,70,10,40,10,0,50,0,50,10,40,0,p,1,0,rbt0
71,Hatchery Riffle,2001-05-21,66.5,RBTS,1,50,5,0,24.1,8,0,0,0,0,20,70,10,40,10,0,50,0,50,10,40,0,p,1,0,rbt0
71,Hatchery Riffle,2001-05-21,66.5,RBTS,1,35,5,0,24.1,8,0,0,0,0,20,70,10,40,10,0,50,0,50,10,40,0,p,1,0,rbt0
72,Auditorium Riffle,2001-05-21,66,RBTS,10,25,20,0,3.2,52,0,0,0,50,50,0,0,90,10,0,0,0,100,0,0,0,p,2,0,rbt0
72,Auditorium Riffle,2001-05-21,66,RBTS,5,30,20,0,3.2,52,0,0,0,50,50,0,0,90,10,0,0,0,100,0,0,0,p,2,0,rbt0
72,Auditorium Riffle,2001-05-21,66,CHN,20,40,20,0,3.2,52,0,0,0,50,50,0,0,90,10,0,0,0,100,0,0,0,p,2,0,chn0
72,Auditorium Riffle,2001-05-21,66,CHN,40,45,20,0,3.2,52,0,0,0,50,50,0,0,90,10,0,0,0,100,0,0,0,p,2,0,chn0
72,Auditorium Riffle,2001-05-21,66,CHN,2,65,15,0,3.2,52,0,0,0,50,50,0,0,90,10,0,0,0,100,0,0,0,p,2,0,chn0
72,Auditorium Riffle,2001-05-21,66,CHN,50,65,15,0,6.2,41,0,0,0,25,75,0,0,100,0,0,0,0,75,25,0,0,p,2,0,chn0
72,Auditorium Riffle,2001-05-21,66,RBTS,1,35,15,0,6.4,56,0,0,0,25,75,0,0,100,0,0,0,0,100,0,0,0,p,4,0,rbt0
72,Auditorium Riffle,2001-05-21,66,RBTS,150,35,15,0,6.4,56,0,0,0,25,75,0,0,100,0,0,0,0,100,0,0,0,p,4,0,rbt0
72,Auditorium Riffle,2001-05-21,66,RBTS,5,25,15,0,6.4,56,0,0,0,25,75,0,0,100,0,0,0,0,100,0,0,0,p,4,0,rbt0
72,Auditorium Riffle,2001-05-21,66,RBTS,150,40,30,0.15000001,6.4,56,0,0,0,25,75,0,0,100,0,0,0,0,100,0,0,0,p,4,0,rbt0
72,Auditorium Riffle,2001-05-21,66,CHN,50,50,20,0,9.1,30,0,0,0,25,75,0,0,85,15,0,0,0,100,0,0,0,p,1,0,chn0
72,Auditorium Riffle,2001-05-21,66,RBTS,6,30,20,0,9.1,30,0,0,0,25,75,0,0,85,15,0,0,0,100,0,0,0,p,1,0,rbt0
72,Auditorium Riffle,2001-05-21,66,CHN,75,40,20,0,9.4,45,0.4,0,0,40,40,20,0,95,5,0,0,0,60,0,40,0,p,4,0,chn0
72,Auditorium Riffle,2001-05-21,66,RBTS,5,35,5,0,15.1,24,0,0,0,0,75,25,0,80,15,0,5,0,80,0,20,0,p,1,0,rbt0
72,Auditorium Riffle,2001-05-21,66,RBTS,3,25,5,0,18.1,11,0,0,0,0,20,80,0,85,0,0,15,0,80,0,20,0,p,1,0,rbt0
72,Auditorium Riffle,2001-05-21,66,RBTS,1,35,3,0.28999999,18.3,19,0.29,0,0,5,70,25,0,90,10,0,0,0,100,0,0,0,p,3,0,rbt0
72,Auditorium Riffle,2001-05-21,66,RBTS,1,25,5,0,21.1,8,0,0,0,90,10,0,0,50,0,0,50,0,20,40,40,0,p,1,0,rbt0
72,Auditorium Riffle,2001-05-21,66,RBTS,2,25,15,0,24.1,18,0,0,10,90,0,0,0,75,25,0,0,0,15,25,60,0,p,1,0,rbt0
