unit,unit_sub_level,channel_type,river_mile,area_sq_m,latitude,longitude
429,NA,HFC,14,14919.30276,39.38971548,-121.6236138
430,NA,HFC,14,9445.303678,39.38825498,-121.6258708
431,NA,HFC,14,27335.01895,39.38660799,-121.6270691
432,NA,HFC,14,9059.805516,39.38735122,-121.6257007
433,NA,HFC,14,15024.56563,39.38571795,-121.6299335
434,NA,HFC,14,21356.8008,39.38470126,-121.631066
435,NA,HFC,14,13933.26641,39.3845927,-121.6308702
436,NA,HFC,15,20235.09264,39.38562061,-121.6274417
437,NA,HFC,15,23268.35953,39.38354928,-121.632771
438,NA,HFC,15,39479.43071,39.38276362,-121.6329139
439,NA,HFC,15,25706.46172,39.38169526,-121.6330087
440,NA,HFC,15,5371.722755,39.37965464,-121.6327095
441,NA,HFC,15,8359.100982,39.3782408,-121.6331217
442,NA,HFC,15,3933.967379,39.37870681,-121.6332063
444,NA,HFC,15,17227.10713,39.37756201,-121.6325568
445,NA,HFC,15,14661.43271,39.37718368,-121.6322812
446,NA,HFC,15,5470.631347,39.37477512,-121.6323886
447,NA,HFC,15,12401.25556,39.37516841,-121.6320062
448,NA,HFC,15,7534.047493,39.37479025,-121.6318592
448,A,HFC,15,6118.044462,39.37573964,-121.6312181
449,NA,HFC,15,6225.115852,39.37328528,-121.6345273
450,NA,HFC,15,13905.24758,39.3730263,-121.6338026
451,NA,HFC,15,15874.88307,39.37276495,-121.633726
454,NA,HFC,15,11106.28391,39.3740306,-121.6346043
455,NA,HFC,15,8955.263509,39.37436621,-121.6356723
456,NA,HFC,15,23140.36186,39.37400015,-121.636386
457,NA,HFC,15,8583.341846,39.37381024,-121.6372203
458,NA,HFC,16,26890.39827,39.37446754,-121.6410984
459,NA,HFC,16,53898.33639,39.37401586,-121.6417344
460,NA,HFC,16,30053.59817,39.37366364,-121.641353
461,NA,HFC,16,29763.85646,39.37313694,-121.6484753
462,NA,HFC,16,55310.76202,39.37315477,-121.6470574
463,NA,HFC,16,21791.96608,39.37273622,-121.6467865
464,NA,HFC,16,19883.09206,39.36901413,-121.6486423
465,NA,HFC,16,42628.1222,39.36763576,-121.6474291
466,NA,HFC,16,28620.95872,39.36897176,-121.6478456
467,NA,HFC,17,14155.32526,39.36418116,-121.644673
468,NA,HFC,17,42428.7465,39.3642959,-121.6441855
469,NA,HFC,17,12495.05557,39.36448142,-121.6437973
470,NA,HFC,17,12322.42096,39.36177821,-121.641137
471,NA,HFC,17,53291.17327,39.36214638,-121.6407352
472,NA,HFC,17,16426.83782,39.36248735,-121.6403013
473,NA,HFC,17,14184.15206,39.35909523,-121.6380692
474,NA,HFC,17,45480.7107,39.35949127,-121.6377058
475,NA,HFC,17,18028.77992,39.35982027,-121.6373041
476,NA,HFC,18,20429.1831,39.35678445,-121.636776
477,NA,HFC,18,38506.9243,39.35678528,-121.6358896
